id,answer,questionId
5c8a78336d41a10da4f73103,Personal interest,5c8a78336d41a10da4f730fe
5c8a78336d41a10da4f73100,To obtain general information,5c8a78336d41a10da4f730fe
5c8a78336d41a10da4f730ff,To source products and services,5c8a78336d41a10da4f730fe
5c8a78336d41a10da4f73101,To promote products and services,5c8a78336d41a10da4f730fe
5c8a78336d41a10da4f73102,Educational purposes ,5c8a78336d41a10da4f730fe
5c8a78336d41a10da4f7323c,Formation of tourist products,5c8a78336d41a10da4f73227
5c8a78336d41a10da4f7323d,Guided tour services,5c8a78336d41a10da4f73227
66a9e6f5950796d2c81af658,Event management,5c8a78336d41a10da4f73227
5c8a78336d41a10da4f73229,Marketing,5c8a78336d41a10da4f73227
5c8a78336d41a10da4f7323b,Visa support,5c8a78336d41a10da4f73227
5c8a78336d41a10da4f7322c,General management,5c8a78336d41a10da4f73227
5c8a78336d41a10da4f73228,Sales,5c8a78336d41a10da4f73227
66a9e70f950796d2c81af65a,Government,5c8a78336d41a10da4f73227
5c8a78336d41a10da4f73244,Media,5c8a78336d41a10da4f73227
66a9e704950796d2c81af659,IT services,5c8a78336d41a10da4f73227
5c8a78336d41a10da4f73292,Accommodation Provider,5c8a78336d41a10da4f73253
611506abc0d46618f87aadef,Sightseeing / Museum / Excursions & Activities,5c8a78336d41a10da4f73253
5c8a78336d41a10da4f732d6,Other,5c8a78336d41a10da4f73253
5c8a78336d41a10da4f732be,Educational institution,5c8a78336d41a10da4f73253
611506a1c0d46618f87aadee,Insurance,5c8a78336d41a10da4f73253
64ef585fc6119baa2a51a9f8,Glamping,5c8a78336d41a10da4f73253
64ef5884c6119baa2a51a9fc,Glamping manufacturer,5c8a78336d41a10da4f73253
5c8a78336d41a10da4f73290,Tour Operator,5c8a78336d41a10da4f73253
5c8a78336d41a10da4f73259,Media,5c8a78336d41a10da4f73253
5c8a78336d41a10da4f732cf,Transport services / Air carriage,5c8a78336d41a10da4f73253
5c8a78336d41a10da4f73293,IT solutions for travel industry,5c8a78336d41a10da4f73253
5c8a78336d41a10da4f73295,Medical Centre/Clinic,5c8a78336d41a10da4f73253
64ef589ec6119baa2a51a9fe,Caravaning,5c8a78336d41a10da4f73253
5c8a78336d41a10da4f73294,Event management,5c8a78336d41a10da4f73253
5c8a78336d41a10da4f73291,Travel Agent,5c8a78336d41a10da4f73253
611506b3c0d46618f87aadf1,Management / Tourism promotion & marketing,5c8a78336d41a10da4f73253
64ef58ecc6119baa2a51aa00,Hotel equipment & services supplier,5c8a78336d41a10da4f73253
5c8a78336d41a10da4f7336f,Joint responsibility,5c8a78336d41a10da4f7336d
5c8a78336d41a10da4f7336e,Sole responsibility,5c8a78336d41a10da4f7336d
5c8a78336d41a10da4f73370,Advisory role,5c8a78336d41a10da4f7336d
5c8a78336d41a10da4f73371,No influence,5c8a78336d41a10da4f7336d
5c8a78336d41a10da4f73376,10 - 20 million rubles,5c8a78336d41a10da4f73372
5c8a78336d41a10da4f73378,More than 50 million rubles,5c8a78336d41a10da4f73372
5c8a78336d41a10da4f73373,Up to 1 million rubles,5c8a78336d41a10da4f73372
5c8a78336d41a10da4f73375,5 - 10 million rubles,5c8a78336d41a10da4f73372
5c8a78336d41a10da4f73374,1 - 5 million rubles,5c8a78336d41a10da4f73372
5c8a78336d41a10da4f73379,I don't know,5c8a78336d41a10da4f73372
5c8a78336d41a10da4f73377,20 - 50 million rubles,5c8a78336d41a10da4f73372
